customer_id,customer_tier,region,plan,industry,monthly_revenue,mrr,arr,customer_since,churn_flag,renewal_date,account_age_days,usage_score,support_tickets,nps_score
CUS-000023,platinum,EU,enterprise,media,10241,10241,122892,2023-08-09,false,2024-08-09,1121,74,13,0
CUS-000024,bronze,APAC,professional,media,104,104,1248,2023-02-17,false,2024-02-17,1293,64,2,4
CUS-000025,platinum,EU,professional,media,7233,7233,86796,2023-10-09,false,2024-10-09,1060,41,3,6
CUS-000026,silver,EU,professional,media,756,756,9072,2023-02-25,true,2024-02-25,1285,35,0,10
CUS-000027,bronze,APAC,starter,healthcare,54,54,648,2024-03-27,false,2025-03-27,889,41,14,7
CUS-000028,gold,APAC,enterprise,retail,2384,2384,28608,2024-12-02,true,2025-12-02,639,46,15,7
CUS-000029,silver,APAC,professional,media,888,888,10656,2023-09-29,false,2024-09-29,1069,84,13,8
CUS-000030,bronze,EU,enterprise,healthcare,59,59,708,2023-01-28,false,2024-01-28,1314,56,8,4
CUS-000031,platinum,APAC,enterprise,tech,17440,17440,209280,2023-11-13,false,2024-11-13,1024,68,5,3
CUS-000032,gold,APAC,enterprise,tech,2619,2619,31428,2024-04-04,false,2025-04-04,881,38,8,3
CUS-000033,platinum,APAC,enterprise,media,22824,22824,273888,2023-03-01,false,2024-03-01,1281,96,12,3
CUS-000034,silver,LATAM,enterprise,retail,495,495,5940,2024-05-18,false,2025-05-18,837,56,9,4
CUS-000035,bronze,EU,professional,finance,76,76,912,2023-09-21,false,2024-09-21,1077,81,4,10
CUS-000036,gold,NA,professional,manufacturing,2207,2207,26484,2023-01-11,false,2024-01-11,1330,42,6,3
CUS-000037,platinum,LATAM,starter,media,5387,5387,64644,2023-02-13,false,2024-02-13,1297,40,15,7
CUS-000038,silver,EU,unlimited,manufacturing,257,257,3084,2023-04-21,true,2024-04-21,1231,53,11,6
CUS-000039,gold,APAC,starter,healthcare,2722,2722,32664,2023-03-30,false,2024-03-30,1252,48,0,7
CUS-000040,gold,LATAM,unlimited,healthcare,4686,4686,56232,2024-08-01,false,2025-08-01,762,74,11,6
CUS-000041,platinum,NA,starter,manufacturing,24250,24250,291000,2024-08-12,false,2025-08-12,751,49,10,3
CUS-000042,platinum,EU,professional,media,24482,24482,293784,2024-07-19,false,2025-07-19,775,48,12,9
CUS-000043,gold,LATAM,starter,finance,1211,1211,14532,2024-12-22,false,2025-12-22,619,33,0,9
CUS-000044,platinum,NA,professional,retail,20147,20147,241764,2024-07-09,false,2025-07-09,785,95,14,3
CUS-000045,gold,EU,enterprise,tech,3907,3907,46884,2024-06-18,false,2025-06-18,806,66,0,6
CUS-000046,bronze,NA,unlimited,manufacturing,240,240,2880,2023-07-15,false,2024-07-15,1145,48,9,5
CUS-000047,silver,NA,unlimited,finance,837,837,10044,2024-09-15,false,2025-09-15,718,97,10,6
CUS-000048,silver,LATAM,unlimited,manufacturing,1189,1189,14268,2024-08-16,false,2025-08-16,748,35,2,4
CUS-000049,platinum,EU,unlimited,retail,24648,24648,295776,2024-05-22,true,2025-05-22,834,83,1,7
CUS-000050,bronze,EU,professional,tech,79,79,948,2023-02-19,false,2024-02-19,1292,32,2,8
CUS-000051,gold,LATAM,enterprise,manufacturing,2816,2816,33792,2024-03-08,false,2025-03-08,908,70,9,2
CUS-000052,silver,APAC,enterprise,finance,780,780,9360,2024-09-20,false,2025-09-20,713,90,3,2
CUS-000053,gold,NA,professional,finance,3788,3788,45456,2023-06-04,false,2024-06-04,1186,63,15,3
CUS-000054,platinum,EU,starter,healthcare,7308,7308,87696,2024-12-27,false,2025-12-27,615,63,9,3
CUS-000055,gold,LATAM,professional,retail,1699,1699,20388,2024-08-26,true,2025-08-26,737,70,5,2
CUS-000056,gold,LATAM,professional,healthcare,3666,3666,43992,2024-11-17,false,2025-11-17,655,46,15,4
CUS-000057,silver,APAC,starter,media,636,636,7632,2024-06-10,false,2025-06-10,814,85,12,7
CUS-000058,bronze,LATAM,starter,manufacturing,114,114,1368,2024-08-17,false,2025-08-17,746,41,7,5
CUS-000059,bronze,LATAM,starter,manufacturing,97,97,1164,2023-04-21,true,2024-04-21,1230,80,14,1
CUS-000060,platinum,EU,professional,healthcare,24992,24992,299904,2023-09-11,false,2024-09-11,1087,44,8,4
CUS-000061,bronze,NA,professional,retail,127,127,1524,2023-02-25,false,2024-02-25,1285,55,4,9
CUS-000062,silver,EU,professional,manufacturing,1150,1150,13800,2023-12-18,false,2024-12-18,989,76,8,1
CUS-000063,silver,EU,unlimited,manufacturing,1062,1062,12744,2023-02-09,true,2024-02-09,1301,69,13,9
CUS-000064,silver,EU,unlimited,media,979,979,11748,2024-11-28,false,2025-11-28,643,92,12,2
CUS-000065,silver,EU,professional,media,435,435,5220,2024-10-22,false,2025-10-22,680,66,6,8
CUS-000066,bronze,APAC,professional,finance,224,224,2688,2024-04-19,false,2025-04-19,866,61,7,7
CUS-000067,bronze,NA,unlimited,tech,163,163,1956,2024-01-03,false,2025-01-03,974,54,9,3
CUS-000068,platinum,NA,enterprise,media,5187,5187,62244,2024-07-06,false,2025-07-06,789,57,12,1
CUS-000069,platinum,EU,enterprise,healthcare,8059,8059,96708,2023-10-25,false,2024-10-25,1044,69,3,8
CUS-000070,silver,EU,enterprise,tech,696,696,8352,2024-01-29,true,2025-01-29,947,56,2,9
CUS-000071,bronze,APAC,starter,media,183,183,2196,2023-03-20,false,2024-03-20,1263,52,1,5
CUS-000072,platinum,EU,starter,healthcare,17256,17256,207072,2023-03-13,false,2024-03-13,1269,85,13,7
CUS-000073,silver,NA,starter,healthcare,400,400,4800,2024-04-01,false,2025-04-01,884,56,2,0
CUS-000074,gold,EU,professional,finance,3863,3863,46356,2024-03-25,false,2025-03-25,891,40,3,0
CUS-000075,silver,APAC,unlimited,media,297,297,3564,2024-03-26,true,2025-03-26,890,88,13,9
CUS-000076,silver,LATAM,starter,finance,826,826,9912,2023-08-18,true,2024-08-18,1112,93,5,9
CUS-000077,silver,APAC,professional,finance,657,657,7884,2024-08-30,false,2025-08-30,733,72,9,9
CUS-000078,gold,NA,professional,manufacturing,1990,1990,23880,2024-11-20,false,2025-11-20,651,95,6,4
CUS-000079,platinum,LATAM,professional,finance,15320,15320,183840,2023-02-28,false,2024-02-28,1282,71,4,5
CUS-000080,gold,APAC,unlimited,healthcare,1543,1543,18516,2024-12-30,false,2025-12-30,612,60,0,4
CUS-000081,gold,LATAM,starter,finance,1366,1366,16392,2024-11-23,false,2025-11-23,648,70,2,9
CUS-000082,silver,EU,enterprise,healthcare,1142,1142,13704,2024-03-31,false,2025-03-31,886,54,13,9
CUS-000083,platinum,EU,unlimited,tech,24521,24521,294252,2023-01-08,false,2024-01-08,1333,30,8,5
CUS-000084,bronze,LATAM,starter,manufacturing,119,119,1428,2024-09-05,false,2025-09-05,728,51,2,5
CUS-000085,silver,EU,starter,manufacturing,323,323,3876,2023-10-02,false,2024-10-02,1066,93,5,8
CUS-000086,silver,NA,professional,tech,562,562,6744,2024-01-27,false,2025-01-27,949,59,12,3
CUS-000087,silver,LATAM,enterprise,healthcare,584,584,7008,2023-12-29,false,2024-12-29,978,69,7,6
CUS-000088,silver,LATAM,starter,media,826,826,9912,2023-01-16,false,2024-01-16,1325,61,5,2
CUS-000089,silver,APAC,unlimited,media,1116,1116,13392,2023-07-28,false,2024-07-28,1132,51,10,7
CUS-000090,bronze,NA,unlimited,finance,112,112,1344,2024-04-24,false,2025-04-24,862,93,6,5
CUS-000091,platinum,EU,professional,media,21526,21526,258312,2024-11-26,true,2025-11-26,646,80,15,1
CUS-000092,bronze,EU,enterprise,healthcare,144,144,1728,2024-06-26,false,2025-06-26,799,55,2,1
CUS-000093,bronze,EU,unlimited,finance,164,164,1968,2023-11-19,false,2024-11-19,1019,65,13,6
CUS-000094,silver,EU,professional,healthcare,985,985,11820,2024-03-20,false,2025-03-20,897,53,11,7
CUS-000095,silver,EU,professional,healthcare,837,837,10044,2023-11-11,false,2024-11-11,1026,92,7,2
CUS-000096,silver,LATAM,enterprise,media,781,781,9372,2024-01-03,false,2025-01-03,974,34,5,6
CUS-000097,silver,LATAM,professional,finance,671,671,8052,2023-03-26,false,2024-03-26,1256,97,15,5
CUS-000098,silver,NA,unlimited,tech,1211,1211,14532,2023-07-14,false,2024-07-14,1146,44,1,3
CUS-000099,gold,APAC,enterprise,tech,2890,2890,34680,2024-12-14,true,2025-12-14,627,40,11,10
CUS-000100,silver,EU,unlimited,finance,318,318,3816,2024-08-30,true,2025-08-30,734,47,10,6
CUS-000101,gold,EU,enterprise,finance,3498,3498,41976,2023-01-22,true,2024-01-22,1319,98,2,1
CUS-000102,silver,NA,unlimited,manufacturing,768,768,9216,2024-03-19,false,2025-03-19,898,42,13,2
CUS-000103,silver,NA,enterprise,media,1073,1073,12876,2024-01-20,true,2025-01-20,956,64,2,3
CUS-000104,platinum,LATAM,starter,media,20173,20173,242076,2024-03-21,false,2025-03-21,895,68,4,7
CUS-000105,gold,LATAM,starter,manufacturing,3991,3991,47892,2023-12-20,false,2024-12-20,987,84,5,5
CUS-000106,silver,EU,unlimited,retail,889,889,10668,2023-03-12,false,2024-03-12,1271,41,3,6
CUS-000107,bronze,APAC,unlimited,retail,169,169,2028,2024-03-21,true,2025-03-21,896,64,7,6
CUS-000108,silver,APAC,enterprise,tech,492,492,5904,2023-02-02,false,2024-02-02,1308,49,10,1
CUS-000109,platinum,LATAM,starter,media,11564,11564,138768,2024-08-15,false,2025-08-15,748,92,14,4
CUS-000110,platinum,EU,professional,media,22206,22206,266472,2024-01-21,false,2025-01-21,956,90,9,0
CUS-000111,platinum,LATAM,enterprise,finance,21281,21281,255372,2024-01-25,true,2025-01-25,951,52,14,1
CUS-000112,silver,APAC,unlimited,manufacturing,672,672,8064,2023-12-06,false,2024-12-06,1001,77,12,5
CUS-000113,gold,EU,unlimited,retail,2659,2659,31908,2024-07-13,false,2025-07-13,782,80,15,7
CUS-000114,platinum,LATAM,unlimited,retail,22705,22705,272460,2023-10-28,false,2024-10-28,1040,47,8,7
CUS-000115,bronze,APAC,professional,healthcare,196,196,2352,2023-01-08,true,2024-01-08,1333,79,8,5
CUS-000116,gold,LATAM,professional,manufacturing,2936,2936,35232,2024-08-02,false,2025-08-02,762,86,1,4
CUS-000117,gold,EU,professional,finance,2553,2553,30636,2023-04-12,false,2024-04-12,1239,75,2,7
CUS-000118,platinum,APAC,professional,retail,13073,13073,156876,2023-11-10,true,2024-11-10,1028,67,10,2
CUS-000119,silver,NA,starter,media,867,867,10404,2023-03-13,false,2024-03-13,1269,97,4,10
CUS-000120,platinum,LATAM,professional,finance,9850,9850,118200,2023-09-30,false,2024-09-30,1068,35,5,2
CUS-000121,silver,APAC,starter,healthcare,1152,1152,13824,2023-09-03,false,2024-09-03,1095,83,4,0
CUS-000122,platinum,NA,professional,tech,24734,24734,296808,2023-02-21,false,2024-02-21,1289,46,8,6
CUS-000123,platinum,EU,unlimited,manufacturing,6613,6613,79356,2023-04-15,false,2024-04-15,1236,92,12,0
CUS-000124,gold,NA,enterprise,tech,3022,3022,36264,2024-05-24,false,2025-05-24,831,31,6,4
CUS-000125,gold,NA,enterprise,healthcare,3518,3518,42216,2023-06-04,true,2024-06-04,1186,61,5,6
CUS-000126,platinum,APAC,enterprise,tech,24193,24193,290316,2023-03-13,false,2024-03-13,1269,95,13,4
CUS-000127,gold,NA,professional,finance,4225,4225,50700,2023-10-06,false,2024-10-06,1062,61,12,5
CUS-000128,bronze,LATAM,enterprise,finance,176,176,2112,2024-10-10,false,2025-10-10,692,58,14,9
CUS-000129,gold,LATAM,starter,healthcare,4146,4146,49752,2023-04-05,false,2024-04-05,1246,74,10,2
CUS-000130,silver,EU,enterprise,finance,903,903,10836,2024-11-19,true,2025-11-19,653,44,8,8
CUS-000131,gold,EU,starter,manufacturing,1626,1626,19512,2024-06-22,true,2025-06-22,802,74,11,6
CUS-000132,silver,EU,professional,retail,1064,1064,12768,2023-09-25,false,2024-09-25,1073,97,1,9
CUS-000133,platinum,APAC,professional,finance,24907,24907,298884,2023-06-23,false,2024-06-23,1167,78,3,2
CUS-000134,platinum,NA,starter,tech,13660,13660,163920,2024-08-12,false,2025-08-12,751,46,11,3
CUS-000135,silver,LATAM,starter,retail,836,836,10032,2023-03-28,false,2024-03-28,1254,91,12,1
CUS-000136,bronze,EU,unlimited,healthcare,241,241,2892,2023-02-25,true,2024-02-25,1285,66,14,3
CUS-000137,gold,NA,professional,manufacturing,1028,1028,12336,2023-09-04,false,2024-09-04,1094,61,15,5
CUS-000138,platinum,LATAM,unlimited,media,7008,7008,84096,2023-07-29,false,2024-07-29,1132,58,2,6
CUS-000139,platinum,LATAM,enterprise,retail,17813,17813,213756,2023-03-31,false,2024-03-31,1252,83,1,2
CUS-000140,platinum,LATAM,unlimited,media,11700,11700,140400,2024-07-22,false,2025-07-22,772,73,1,2
CUS-000141,gold,APAC,professional,manufacturing,1717,1717,20604,2024-03-13,false,2025-03-13,903,62,15,0
CUS-000142,platinum,NA,unlimited,finance,7334,7334,88008,2024-05-12,false,2025-05-12,843,73,6,3
CUS-000143,gold,LATAM,professional,healthcare,1780,1780,21360,2023-01-05,false,2024-01-05,1336,61,3,9
CUS-000144,bronze,APAC,unlimited,media,142,142,1704,2024-03-05,false,2025-03-05,911,64,8,9
CUS-000145,gold,EU,enterprise,retail,4474,4474,53688,2024-04-19,true,2025-04-19,866,79,4,2
CUS-000146,platinum,APAC,starter,media,18437,18437,221244,2024-12-05,false,2025-12-05,636,50,3,4
CUS-000147,silver,EU,starter,healthcare,917,917,11004,2023-01-10,false,2024-01-10,1332,81,14,5
CUS-000148,gold,APAC,enterprise,healthcare,1761,1761,21132,2024-06-01,false,2025-06-01,824,32,2,7
CUS-000149,gold,EU,professional,media,1696,1696,20352,2024-07-25,false,2025-07-25,770,69,8,3
CUS-000150,gold,EU,unlimited,retail,2108,2108,25296,2023-07-17,false,2024-07-17,1144,48,2,0
CUS-000151,platinum,NA,unlimited,healthcare,22865,22865,274380,2023-11-06,false,2024-11-06,1032,78,9,4
CUS-000152,platinum,EU,professional,tech,19909,19909,238908,2023-06-01,false,2024-06-01,1190,38,12,1
CUS-000153,bronze,APAC,starter,manufacturing,131,131,1572,2024-08-08,false,2025-08-08,755,36,11,7
CUS-000154,gold,EU,professional,healthcare,2735,2735,32820,2023-06-20,false,2024-06-20,1170,58,1,1
CUS-000155,platinum,LATAM,enterprise,finance,13182,13182,158184,2023-06-11,false,2024-06-11,1179,36,6,0
CUS-000156,gold,EU,professional,tech,4464,4464,53568,2023-01-25,false,2024-01-25,1316,61,11,2
CUS-000157,bronze,EU,enterprise,media,207,207,2484,2024-02-06,false,2025-02-06,939,54,2,7
CUS-000158,platinum,EU,enterprise,manufacturing,20607,20607,247284,2024-09-02,false,2025-09-02,730,38,1,7
CUS-000159,bronze,APAC,professional,healthcare,181,181,2172,2023-09-22,false,2024-09-22,1076,41,12,3
CUS-000160,gold,APAC,professional,tech,4603,4603,55236,2023-06-18,false,2024-06-18,1172,97,10,6
CUS-000161,bronze,NA,unlimited,manufacturing,237,237,2844,2023-05-01,false,2024-05-01,1220,99,8,5
CUS-000162,platinum,APAC,unlimited,healthcare,23464,23464,281568,2024-04-30,false,2025-04-30,856,47,12,7
CUS-000163,gold,EU,enterprise,finance,2780,2780,33360,2024-11-24,false,2025-11-24,647,39,9,2
CUS-000164,gold,APAC,unlimited,healthcare,3134,3134,37608,2024-01-24,false,2025-01-24,952,95,9,6
CUS-000165,silver,EU,enterprise,retail,959,959,11508,2024-08-13,true,2025-08-13,751,38,7,3
CUS-000166,silver,LATAM,enterprise,retail,386,386,4632,2024-12-19,false,2025-12-19,622,40,1,9
CUS-000167,platinum,NA,starter,retail,20725,20725,248700,2023-04-12,false,2024-04-12,1240,86,9,3
CUS-000168,silver,NA,enterprise,media,1094,1094,13128,2023-06-06,false,2024-06-06,1184,72,3,2
CUS-000169,gold,NA,professional,retail,1825,1825,21900,2023-10-09,false,2024-10-09,1059,49,14,9
CUS-000170,silver,EU,enterprise,manufacturing,1180,1180,14160,2024-04-15,false,2025-04-15,870,56,1,8
CUS-000171,gold,APAC,professional,retail,3289,3289,39468,2023-06-08,false,2024-06-08,1182,81,11,3
CUS-000172,gold,APAC,professional,manufacturing,3131,3131,37572,2024-03-25,false,2025-03-25,892,84,6,4
CUS-000173,gold,APAC,professional,manufacturing,1288,1288,15456,2023-04-29,false,2024-04-29,1223,80,7,4
CUS-000174,gold,NA,starter,media,1817,1817,21804,2023-11-29,false,2024-11-29,1009,67,1,7
CUS-000175,bronze,APAC,starter,retail,70,70,840,2024-01-11,false,2025-01-11,966,75,4,3
CUS-000176,silver,APAC,professional,media,727,727,8724,2024-12-15,false,2025-12-15,627,96,14,3
CUS-000177,bronze,LATAM,enterprise,tech,80,80,960,2023-04-13,false,2024-04-13,1239,48,3,8
CUS-000178,gold,LATAM,starter,finance,1625,1625,19500,2024-06-12,false,2025-06-12,812,66,4,0
CUS-000179,platinum,APAC,unlimited,finance,9338,9338,112056,2023-08-14,false,2024-08-14,1116,91,9,7
CUS-000180,silver,APAC,unlimited,finance,766,766,9192,2023-03-01,false,2024-03-01,1282,41,7,0
CUS-000181,platinum,EU,unlimited,manufacturing,9217,9217,110604,2024-11-01,false,2025-11-01,671,57,1,3
CUS-000182,bronze,NA,starter,finance,84,84,1008,2023-06-26,false,2024-06-26,1164,58,5,7
CUS-000183,gold,NA,unlimited,manufacturing,3217,3217,38604,2024-12-18,false,2025-12-18,623,71,13,9
CUS-000184,platinum,EU,enterprise,finance,15911,15911,190932,2024-12-20,false,2025-12-20,621,46,3,7
CUS-000185,bronze,NA,enterprise,media,243,243,2916,2024-02-10,false,2025-02-10,935,90,1,5
CUS-000186,gold,NA,enterprise,manufacturing,4946,4946,59352,2024-03-07,false,2025-03-07,910,31,8,8
CUS-000187,platinum,APAC,enterprise,manufacturing,13199,13199,158388,2024-01-07,false,2025-01-07,970,41,12,5
CUS-000188,gold,EU,professional,finance,3637,3637,43644,2023-09-09,false,2024-09-09,1089,90,11,5
CUS-000189,silver,LATAM,unlimited,healthcare,753,753,9036,2023-02-18,false,2024-02-18,1292,45,15,1
CUS-000190,platinum,LATAM,unlimited,manufacturing,16148,16148,193776,2023-04-01,false,2024-04-01,1250,87,2,3
CUS-000191,gold,EU,professional,tech,1394,1394,16728,2023-01-22,false,2024-01-22,1319,37,11,6
CUS-000192,bronze,LATAM,enterprise,manufacturing,175,175,2100,2023-11-22,false,2024-11-22,1016,98,3,8
CUS-000193,bronze,NA,enterprise,retail,222,222,2664,2024-10-23,true,2025-10-23,679,97,6,5
CUS-000194,bronze,EU,starter,tech,248,248,2976,2023-08-20,true,2024-08-20,1109,72,1,10
CUS-000195,silver,LATAM,starter,retail,999,999,11988,2023-09-21,false,2024-09-21,1078,74,2,8
CUS-000196,bronze,LATAM,starter,healthcare,165,165,1980,2023-10-24,false,2024-10-24,1044,43,13,5
CUS-000197,gold,LATAM,enterprise,finance,4487,4487,53844,2023-01-26,false,2024-01-26,1315,71,10,10
CUS-000198,platinum,APAC,unlimited,healthcare,24243,24243,290916,2024-10-10,false,2025-10-10,693,61,3,4
CUS-000199,platinum,NA,unlimited,healthcare,24197,24197,290364,2024-11-30,false,2025-11-30,642,30,1,8
CUS-000200,silver,NA,starter,healthcare,1047,1047,12564,2023-04-25,false,2024-04-25,1226,96,11,5
CUS-000201,platinum,APAC,starter,finance,14012,14012,168144,2023-11-20,true,2024-11-20,1018,56,14,4
CUS-000202,bronze,APAC,enterprise,tech,132,132,1584,2024-10-25,false,2025-10-25,678,98,7,4
CUS-000203,gold,EU,enterprise,finance,1582,1582,18984,2024-01-16,false,2025-01-16,960,50,1,0
CUS-000204,gold,LATAM,unlimited,manufacturing,4524,4524,54288,2024-09-12,false,2025-09-12,721,87,7,10
CUS-000205,silver,EU,starter,media,1148,1148,13776,2024-11-26,false,2025-11-26,646,87,10,6
CUS-000206,platinum,LATAM,starter,finance,24667,24667,296004,2024-07-14,false,2025-07-14,781,59,2,4
CUS-000207,bronze,APAC,starter,healthcare,235,235,2820,2023-04-25,false,2024-04-25,1226,77,14,6
CUS-000208,gold,LATAM,starter,finance,2943,2943,35316,2023-04-11,false,2024-04-11,1241,35,12,6
CUS-000209,silver,NA,professional,healthcare,1086,1086,13032,2023-04-24,true,2024-04-24,1228,77,9,1
CUS-000210,platinum,APAC,starter,tech,24913,24913,298956,2024-01-16,false,2025-01-16,961,53,6,3
CUS-000211,silver,LATAM,enterprise,tech,795,795,9540,2024-03-29,false,2025-03-29,888,57,14,0
CUS-000212,silver,NA,enterprise,tech,849,849,10188,2024-10-30,false,2025-10-30,673,62,4,7
CUS-000213,gold,EU,starter,manufacturing,2563,2563,30756,2023-02-03,true,2024-02-03,1307,54,4,3
CUS-000214,gold,NA,starter,finance,4956,4956,59472,2023-04-01,true,2024-04-01,1250,55,4,1
CUS-000215,bronze,EU,enterprise,retail,105,105,1260,2024-04-06,false,2025-04-06,880,55,1,6
CUS-000216,gold,EU,unlimited,finance,3182,3182,38184,2023-06-03,false,2024-06-03,1187,58,1,8
CUS-000217,platinum,EU,unlimited,healthcare,9481,9481,113772,2024-02-04,false,2025-02-04,941,81,11,2
CUS-000218,bronze,NA,unlimited,tech,221,221,2652,2024-02-06,false,2025-02-06,939,33,2,6
CUS-000219,silver,NA,starter,finance,473,473,5676,2024-04-19,false,2025-04-19,866,85,8,4
CUS-000220,bronze,LATAM,professional,manufacturing,236,236,2832,2023-03-28,false,2024-03-28,1255,86,14,2
CUS-000221,platinum,APAC,enterprise,manufacturing,10648,10648,127776,2024-02-19,true,2025-02-19,926,92,5,0
CUS-000222,gold,EU,enterprise,tech,3142,3142,37704,2024-12-23,false,2025-12-23,618,83,9,5
CUS-000223,bronze,EU,unlimited,media,132,132,1584,2024-04-23,false,2025-04-23,862,44,3,4
CUS-000224,platinum,NA,starter,retail,5825,5825,69900,2023-04-07,true,2024-04-07,1244,97,9,1
CUS-000225,silver,NA,professional,media,1057,1057,12684,2024-03-11,false,2025-03-11,905,58,13,2
CUS-000226,silver,EU,unlimited,healthcare,860,860,10320,2024-09-05,false,2025-09-05,727,67,2,2
CUS-000227,silver,EU,starter,finance,908,908,10896,2023-12-03,false,2024-12-03,1004,86,14,5
CUS-000228,platinum,EU,starter,manufacturing,9368,9368,112416,2023-09-16,false,2024-09-16,1082,79,9,6
CUS-000229,platinum,LATAM,starter,finance,22459,22459,269508,2023-09-02,false,2024-09-02,1097,70,8,6
CUS-000230,silver,NA,enterprise,media,593,593,7116,2024-02-29,true,2025-03-01,916,40,14,5
CUS-000231,bronze,APAC,enterprise,media,91,91,1092,2023-05-27,false,2024-05-27,1194,66,15,0
CUS-000232,bronze,EU,starter,finance,152,152,1824,2024-05-25,false,2025-05-25,830,91,11,1
CUS-000233,platinum,EU,unlimited,retail,13542,13542,162504,2023-03-22,true,2024-03-22,1260,34,14,1
CUS-000234,silver,EU,unlimited,finance,840,840,10080,2024-11-10,false,2025-11-10,661,50,2,3
CUS-000235,platinum,NA,starter,finance,11170,11170,134040,2023-09-14,false,2024-09-14,1084,73,11,5
CUS-000236,silver,NA,professional,finance,783,783,9396,2024-07-04,false,2025-07-04,791,65,8,8
CUS-000237,bronze,LATAM,professional,manufacturing,51,51,612,2023-01-17,false,2024-01-17,1324,97,4,8
CUS-000238,bronze,NA,enterprise,tech,167,167,2004,2024-10-05,false,2025-10-05,697,68,6,2
CUS-000239,platinum,EU,professional,media,11047,11047,132564,2024-08-31,true,2025-08-31,732,95,5,6
CUS-000240,gold,APAC,professional,manufacturing,3893,3893,46716,2024-07-05,false,2025-07-05,789,52,6,4
CUS-000241,gold,APAC,unlimited,media,2315,2315,27780,2023-09-19,false,2024-09-19,1080,95,15,1
CUS-000242,platinum,LATAM,starter,finance,21344,21344,256128,2023-11-17,false,2024-11-17,1020,41,12,6
CUS-000243,platinum,EU,professional,manufacturing,23569,23569,282828,2023-12-27,false,2024-12-27,981,91,9,8
CUS-000244,platinum,NA,enterprise,tech,20962,20962,251544,2024-09-22,false,2025-09-22,710,95,2,4
CUS-000245,platinum,LATAM,starter,tech,12805,12805,153660,2023-07-26,false,2024-07-26,1135,87,8,8
CUS-000246,platinum,APAC,starter,finance,17924,17924,215088,2024-11-17,false,2025-11-17,654,44,13,4
CUS-000247,platinum,LATAM,starter,tech,6105,6105,73260,2024-12-28,false,2025-12-28,613,92,6,6
CUS-000248,gold,APAC,professional,manufacturing,3954,3954,47448,2024-07-22,false,2025-07-22,772,55,14,9
CUS-000249,platinum,LATAM,enterprise,retail,9588,9588,115056,2023-07-17,false,2024-07-17,1143,38,13,7
CUS-000250,bronze,NA,professional,finance,98,98,1176,2024-07-24,false,2025-07-24,770,77,6,9
CUS-000251,bronze,APAC,enterprise,tech,52,52,624,2023-04-30,false,2024-04-30,1221,91,13,9
CUS-000252,silver,APAC,enterprise,finance,879,879,10548,2024-08-06,false,2025-08-06,758,59,8,2
CUS-000253,silver,LATAM,professional,tech,344,344,4128,2024-12-30,false,2025-12-30,612,58,13,8
CUS-000254,platinum,EU,starter,media,16481,16481,197772,2024-05-31,false,2025-05-31,824,57,0,6
