transaction_id,customer_id,transaction_date,amount,type,region,flagged
TXN-00000037,CUS-059056,2026-06-10,199,refund,APAC,false
TXN-00000038,CUS-019129,2025-11-16,199,downgrade,EU,false
TXN-00000039,CUS-092766,2025-09-25,49999,downgrade,EU,false
TXN-00000040,CUS-091879,2026-08-14,99999,Add-on,EU,false
TXN-00000041,CUS-000277,2025-09-19,499,downgrade,NA,true
TXN-00000042,CUS-081235,2026-06-06,499,Add-on,APAC,false
TXN-00000043,CUS-035408,2025-10-21,4999,Add-on,NA,false
TXN-00000044,CUS-005771,2026-01-03,199,downgrade,APAC,false
TXN-00000045,CUS-006085,2025-11-01,49999,subscription,NA,true
TXN-00000046,CUS-030760,2026-01-22,999,refund,APAC,false
TXN-00000047,CUS-028111,2026-02-14,19999,downgrade,APAC,false
TXN-00000048,CUS-056178,2026-03-15,4999,downgrade,APAC,false
TXN-00000049,CUS-022737,2026-08-30,49999,downgrade,NA,false
TXN-00000050,CUS-044016,2026-06-14,4999,subscription,EU,false
TXN-00000051,CUS-053575,2025-12-20,19999,upgrade,APAC,false
TXN-00000052,CUS-029901,2025-09-30,999,subscription,EU,false
TXN-00000053,CUS-081441,2025-10-13,99999,subscription,NA,false
TXN-00000054,CUS-038905,2025-09-18,199,upgrade,NA,false
TXN-00000055,CUS-049785,2026-02-16,499,downgrade,APAC,false
TXN-00000056,CUS-070917,2025-09-14,99999,downgrade,APAC,false
TXN-00000057,CUS-040331,2026-07-13,19999,subscription,APAC,false
TXN-00000058,CUS-093805,2025-12-27,1999,subscription,NA,false
TXN-00000059,CUS-092918,2026-08-12,999,upgrade,APAC,false
TXN-00000060,CUS-054536,2025-09-09,1999,subscription,EU,false
TXN-00000061,CUS-037196,2025-09-06,1999,subscription,EU,false
TXN-00000062,CUS-076744,2026-01-25,49999,subscription,NA,false
TXN-00000063,CUS-046036,2026-03-18,499,Add-on,EU,false
TXN-00000064,CUS-091571,2026-03-26,49999,refund,EU,false
TXN-00000065,CUS-076520,2026-01-20,49999,refund,EU,false
TXN-00000066,CUS-001475,2026-01-09,499,Add-on,APAC,false
TXN-00000067,CUS-026165,2025-11-28,199,downgrade,NA,false
TXN-00000068,CUS-099127,2026-05-11,199,subscription,APAC,false
TXN-00000069,CUS-024237,2026-06-09,4999,Add-on,NA,false
TXN-00000070,CUS-070909,2026-03-04,4999,downgrade,NA,false
TXN-00000071,CUS-059242,2026-03-21,19999,downgrade,EU,false
TXN-00000072,CUS-068655,2026-04-02,9999,refund,APAC,false
TXN-00000073,CUS-022846,2026-04-27,499,subscription,NA,false
TXN-00000074,CUS-084262,2025-09-09,99999,upgrade,NA,false
TXN-00000075,CUS-090172,2025-10-18,1999,upgrade,APAC,false
TXN-00000076,CUS-062035,2026-05-28,4999,downgrade,NA,false
TXN-00000077,CUS-049483,2026-04-20,99999,refund,APAC,false
TXN-00000078,CUS-026891,2026-07-23,199,downgrade,APAC,false
TXN-00000079,CUS-094517,2026-03-20,199,Add-on,EU,false
TXN-00000080,CUS-055154,2026-03-06,199,Add-on,APAC,false
TXN-00000081,CUS-090330,2025-09-12,199,Add-on,NA,false
TXN-00000082,CUS-008633,2026-03-11,9999,subscription,EU,true
TXN-00000083,CUS-015294,2026-06-25,499,refund,APAC,false
TXN-00000084,CUS-050504,2026-08-12,99999,downgrade,NA,false
TXN-00000085,CUS-022516,2026-02-25,99999,refund,APAC,false
TXN-00000086,CUS-069146,2025-09-06,199,Add-on,APAC,false
TXN-00000087,CUS-040501,2026-08-03,999,Add-on,NA,false
TXN-00000088,CUS-000420,2025-10-10,499,refund,NA,false
TXN-00000089,CUS-023056,2025-10-12,99,refund,NA,false
TXN-00000090,CUS-012042,2026-07-19,1999,refund,NA,false
TXN-00000091,CUS-053466,2026-01-27,199,refund,NA,false
TXN-00000092,CUS-015781,2026-03-18,1999,refund,EU,false
TXN-00000093,CUS-038457,2026-06-28,199,downgrade,APAC,false
TXN-00000094,CUS-071941,2026-07-21,9999,Add-on,APAC,false
TXN-00000095,CUS-068806,2026-04-13,1999,Add-on,APAC,false
TXN-00000096,CUS-098466,2026-06-23,1999,subscription,EU,false
TXN-00000097,CUS-065175,2026-08-07,199,Add-on,EU,false
TXN-00000098,CUS-071756,2026-02-22,99,Add-on,NA,false
TXN-00000099,CUS-057102,2026-05-20,199,refund,NA,false
TXN-00000100,CUS-017758,2026-08-24,1999,downgrade,EU,false
TXN-00000101,CUS-083431,2025-12-10,49999,refund,NA,false
TXN-00000102,CUS-093143,2026-04-03,99999,subscription,APAC,false
TXN-00000103,CUS-070880,2026-07-03,999,downgrade,EU,false
TXN-00000104,CUS-060149,2026-07-23,999,subscription,EU,false
TXN-00000105,CUS-007849,2026-01-17,199,subscription,NA,false
TXN-00000106,CUS-053468,2025-10-05,99,upgrade,NA,false
TXN-00000107,CUS-009598,2025-11-07,999,refund,EU,true
TXN-00000108,CUS-024287,2026-02-02,199,refund,NA,false
TXN-00000109,CUS-022384,2026-05-07,99999,refund,EU,false
TXN-00000110,CUS-079957,2025-12-18,1999,Add-on,APAC,false
TXN-00000111,CUS-022472,2026-04-23,4999,subscription,APAC,false
TXN-00000112,CUS-009870,2026-05-31,99,subscription,NA,false
TXN-00000113,CUS-055549,2026-04-08,999,upgrade,NA,false
TXN-00000114,CUS-025617,2026-08-15,1999,downgrade,APAC,false
TXN-00000115,CUS-010944,2025-10-28,19999,subscription,NA,false
TXN-00000116,CUS-085447,2025-12-04,4999,downgrade,NA,false
TXN-00000117,CUS-061432,2026-04-03,499,Add-on,EU,false
TXN-00000118,CUS-054255,2026-05-03,9999,upgrade,APAC,false
TXN-00000119,CUS-060651,2026-05-22,499,refund,NA,true
TXN-00000120,CUS-091725,2025-10-10,49999,refund,EU,false
TXN-00000121,CUS-071593,2026-04-12,49999,subscription,APAC,false
TXN-00000122,CUS-007187,2025-10-19,4999,refund,NA,false
TXN-00000123,CUS-088959,2026-01-17,199,Add-on,NA,false
TXN-00000124,CUS-093474,2026-05-03,199,upgrade,APAC,false
TXN-00000125,CUS-084012,2026-07-15,999,subscription,NA,false
TXN-00000126,CUS-007233,2025-12-10,199,Add-on,APAC,false
TXN-00000127,CUS-093968,2025-10-25,4999,refund,APAC,false
TXN-00000128,CUS-096419,2026-07-29,99999,upgrade,APAC,false
TXN-00000129,CUS-059410,2026-04-20,19999,refund,APAC,false
TXN-00000130,CUS-023504,2026-08-19,49999,upgrade,NA,false
TXN-00000131,CUS-005202,2025-12-28,99999,downgrade,NA,false
TXN-00000132,CUS-080187,2026-05-22,999,downgrade,NA,false
TXN-00000133,CUS-005927,2026-02-24,999,upgrade,EU,false
TXN-00000134,CUS-063069,2026-05-17,19999,downgrade,NA,false
TXN-00000135,CUS-024409,2026-04-04,499,Add-on,EU,false
TXN-00000136,CUS-086354,2026-08-10,99,subscription,NA,false
TXN-00000137,CUS-087498,2025-10-31,19999,subscription,APAC,false
TXN-00000138,CUS-006838,2026-03-10,99,refund,APAC,false
TXN-00000139,CUS-026673,2026-06-12,99999,refund,NA,false
TXN-00000140,CUS-073028,2025-12-04,99,Add-on,NA,false
TXN-00000141,CUS-084597,2026-01-04,999,refund,APAC,false
TXN-00000142,CUS-007145,2025-09-25,199,downgrade,APAC,false
TXN-00000143,CUS-040770,2026-04-02,9999,subscription,APAC,false
TXN-00000144,CUS-067626,2026-01-20,49999,downgrade,NA,true
TXN-00000145,CUS-038087,2025-10-07,99999,refund,NA,false
TXN-00000146,CUS-060129,2026-04-27,199,Add-on,APAC,false
TXN-00000147,CUS-006528,2026-01-13,9999,Add-on,NA,false
TXN-00000148,CUS-017112,2026-04-15,4999,refund,NA,false
TXN-00000149,CUS-077172,2026-02-07,99,subscription,EU,false
TXN-00000150,CUS-017966,2026-03-04,49999,upgrade,EU,false
TXN-00000151,CUS-005617,2025-09-04,499,Add-on,EU,true
TXN-00000152,CUS-078305,2026-01-08,199,Add-on,EU,false
TXN-00000153,CUS-016920,2025-12-27,19999,downgrade,APAC,false
TXN-00000154,CUS-021721,2025-12-19,9999,upgrade,NA,true
TXN-00000155,CUS-025278,2026-07-18,99,downgrade,NA,false
TXN-00000156,CUS-055583,2026-03-01,99999,subscription,APAC,false
TXN-00000157,CUS-061697,2026-07-09,999,downgrade,APAC,false
TXN-00000158,CUS-076441,2026-04-04,9999,upgrade,EU,false
TXN-00000159,CUS-006013,2026-07-16,49999,subscription,NA,false
TXN-00000160,CUS-066464,2025-09-23,99999,refund,APAC,true
TXN-00000161,CUS-056459,2025-09-05,49999,refund,NA,false
TXN-00000162,CUS-031162,2025-09-11,49999,refund,EU,true
TXN-00000163,CUS-023869,2026-03-10,99,upgrade,APAC,false
TXN-00000164,CUS-091513,2025-11-16,499,Add-on,EU,false
TXN-00000165,CUS-090645,2025-09-18,199,Add-on,EU,true
TXN-00000166,CUS-041418,2026-04-06,99,subscription,NA,true
TXN-00000167,CUS-026107,2026-02-16,99999,downgrade,APAC,false
TXN-00000168,CUS-035944,2025-09-27,1999,upgrade,NA,false
TXN-00000169,CUS-010113,2026-01-14,499,upgrade,NA,false
TXN-00000170,CUS-088851,2026-08-19,19999,downgrade,APAC,false
TXN-00000171,CUS-046088,2025-12-17,1999,subscription,EU,false
TXN-00000172,CUS-048536,2025-10-07,4999,Add-on,EU,false
TXN-00000173,CUS-077536,2025-10-21,9999,upgrade,NA,false
TXN-00000174,CUS-006981,2026-05-31,1999,downgrade,EU,false
TXN-00000175,CUS-023559,2026-08-09,49999,upgrade,APAC,false
TXN-00000176,CUS-026810,2026-06-10,1999,downgrade,EU,false
TXN-00000177,CUS-045704,2026-05-28,99999,refund,APAC,false
TXN-00000178,CUS-050340,2025-12-28,4999,Add-on,APAC,false
TXN-00000179,CUS-084176,2026-08-14,1999,Add-on,NA,false
TXN-00000180,CUS-006998,2025-09-05,199,Add-on,APAC,false
TXN-00000181,CUS-081954,2026-02-12,99999,upgrade,NA,false
TXN-00000182,CUS-067248,2026-08-22,99,refund,APAC,false
TXN-00000183,CUS-098577,2026-08-13,9999,refund,APAC,false
TXN-00000184,CUS-059890,2026-03-08,1999,Add-on,NA,false
TXN-00000185,CUS-051828,2026-05-03,1999,subscription,APAC,false
TXN-00000186,CUS-087280,2025-09-23,99,upgrade,NA,false
TXN-00000187,CUS-097750,2026-01-28,99,upgrade,EU,false
TXN-00000188,CUS-082557,2026-08-12,99,upgrade,APAC,false
TXN-00000189,CUS-074582,2025-12-30,9999,subscription,NA,false
TXN-00000190,CUS-069638,2026-03-22,1999,upgrade,EU,false
TXN-00000191,CUS-086811,2025-12-04,999,subscription,EU,false
TXN-00000192,CUS-058418,2026-08-04,199,refund,EU,false
TXN-00000193,CUS-085724,2025-11-28,49999,Add-on,NA,false
TXN-00000194,CUS-073003,2025-12-05,4999,Add-on,NA,true
TXN-00000195,CUS-035010,2026-07-04,1999,Add-on,EU,false
TXN-00000196,CUS-071986,2026-04-02,1999,Add-on,EU,false
TXN-00000197,CUS-047114,2025-09-28,199,upgrade,APAC,false
TXN-00000198,CUS-021014,2026-06-13,99,Add-on,NA,false
TXN-00000199,CUS-095869,2026-01-16,499,subscription,EU,false
TXN-00000200,CUS-078587,2026-08-10,49999,upgrade,NA,false
TXN-00000201,CUS-028507,2026-06-14,49999,upgrade,APAC,false
TXN-00000202,CUS-073178,2025-10-09,199,upgrade,APAC,false
TXN-00000203,CUS-062600,2026-07-02,1999,Add-on,APAC,false
TXN-00000204,CUS-055728,2025-11-18,4999,upgrade,APAC,false
TXN-00000205,CUS-070560,2026-01-31,49999,subscription,EU,false
TXN-00000206,CUS-012103,2026-06-20,999,refund,NA,false
TXN-00000207,CUS-070029,2026-04-12,99999,subscription,NA,false
TXN-00000208,CUS-085304,2026-08-30,199,refund,EU,false
TXN-00000209,CUS-023111,2025-11-17,99,downgrade,APAC,false
TXN-00000210,CUS-069952,2026-06-07,499,upgrade,APAC,false
TXN-00000211,CUS-003321,2026-05-07,199,downgrade,NA,false
TXN-00000212,CUS-062579,2025-12-06,19999,upgrade,NA,false
TXN-00000213,CUS-065156,2026-02-28,9999,downgrade,NA,false
TXN-00000214,CUS-027672,2026-06-22,99999,upgrade,APAC,true
TXN-00000215,CUS-043823,2025-10-10,199,downgrade,EU,false
TXN-00000216,CUS-016682,2025-12-01,4999,subscription,EU,false
TXN-00000217,CUS-040482,2025-10-06,19999,subscription,APAC,false
TXN-00000218,CUS-092934,2026-02-09,9999,refund,NA,false
TXN-00000219,CUS-089663,2026-06-24,199,subscription,EU,false
TXN-00000220,CUS-009376,2026-04-22,99999,subscription,NA,false
TXN-00000221,CUS-035460,2025-12-17,999,refund,APAC,false
TXN-00000222,CUS-031349,2026-06-26,9999,subscription,NA,false
TXN-00000223,CUS-022855,2026-01-23,9999,upgrade,EU,false
TXN-00000224,CUS-074258,2026-06-19,499,upgrade,NA,false
TXN-00000225,CUS-014615,2026-08-05,9999,Add-on,APAC,false
TXN-00000226,CUS-016501,2026-01-28,99999,subscription,NA,false
TXN-00000227,CUS-076507,2026-06-20,19999,upgrade,EU,false
TXN-00000228,CUS-058118,2026-03-26,99,upgrade,APAC,false
TXN-00000229,CUS-009623,2026-01-22,4999,downgrade,EU,false
TXN-00000230,CUS-008629,2026-06-01,999,downgrade,APAC,false
TXN-00000231,CUS-062016,2026-01-04,199,upgrade,EU,false
TXN-00000232,CUS-091145,2026-03-13,49999,refund,APAC,false
TXN-00000233,CUS-013563,2026-04-11,49999,upgrade,NA,false
TXN-00000234,CUS-023734,2026-01-11,19999,upgrade,APAC,false
TXN-00000235,CUS-003020,2026-01-15,199,Add-on,EU,false
TXN-00000236,CUS-043057,2026-07-30,19999,upgrade,APAC,false
TXN-00000237,CUS-041223,2025-10-24,199,Add-on,NA,false
TXN-00000238,CUS-074106,2025-10-22,9999,subscription,EU,false
TXN-00000239,CUS-063833,2026-01-28,99999,refund,NA,false
TXN-00000240,CUS-078334,2026-04-06,99999,Add-on,NA,false
TXN-00000241,CUS-033737,2026-09-03,99999,subscription,APAC,false
TXN-00000242,CUS-074267,2026-02-27,9999,Add-on,NA,false
TXN-00000243,CUS-030280,2025-09-28,499,refund,NA,false
TXN-00000244,CUS-055622,2026-08-22,4999,subscription,NA,false
TXN-00000245,CUS-044815,2025-09-26,1999,downgrade,APAC,false
TXN-00000246,CUS-018630,2025-11-03,999,Add-on,EU,false
TXN-00000247,CUS-084641,2025-09-06,1999,refund,EU,false
TXN-00000248,CUS-092042,2026-08-26,4999,Add-on,EU,false
TXN-00000249,CUS-009643,2025-11-19,99999,refund,EU,false
TXN-00000250,CUS-094471,2026-08-22,499,downgrade,EU,false
TXN-00000251,CUS-084699,2026-03-26,499,downgrade,EU,false
TXN-00000252,CUS-041401,2026-05-13,49999,Add-on,APAC,false
TXN-00000253,CUS-046613,2025-09-11,499,downgrade,NA,false
TXN-00000254,CUS-098467,2025-09-20,199,downgrade,NA,false
TXN-00000255,CUS-092086,2026-06-19,9999,upgrade,APAC,false
TXN-00000256,CUS-084784,2025-12-08,999,Add-on,EU,false
TXN-00000257,CUS-029161,2026-06-04,1999,downgrade,NA,false
TXN-00000258,CUS-080152,2026-07-05,999,upgrade,APAC,false
TXN-00000259,CUS-045051,2026-07-10,499,downgrade,APAC,false
TXN-00000260,CUS-087764,2026-05-17,999,subscription,NA,false
TXN-00000261,CUS-030498,2026-05-30,199,Add-on,NA,false
TXN-00000262,CUS-025561,2025-11-09,199,subscription,NA,false
TXN-00000263,CUS-026341,2025-10-03,499,subscription,EU,true
TXN-00000264,CUS-067100,2026-02-24,99,refund,APAC,false
TXN-00000265,CUS-075264,2026-05-01,499,downgrade,NA,false
TXN-00000266,CUS-052592,2026-05-21,9999,Add-on,NA,false
TXN-00000267,CUS-050494,2026-05-02,9999,downgrade,NA,true
TXN-00000268,CUS-047295,2026-01-24,199,Add-on,EU,false
TXN-00000269,CUS-091764,2026-05-17,99999,refund,APAC,false
TXN-00000270,CUS-071503,2026-04-06,19999,downgrade,APAC,false
TXN-00000271,CUS-068073,2026-09-02,99999,refund,APAC,false
TXN-00000272,CUS-054692,2026-02-19,9999,Add-on,APAC,false
TXN-00000273,CUS-022971,2026-07-11,49999,Add-on,APAC,true
TXN-00000274,CUS-063389,2026-08-27,199,Add-on,NA,false
TXN-00000275,CUS-074101,2026-06-25,999,refund,EU,false
TXN-00000276,CUS-061881,2025-12-27,9999,subscription,APAC,false
TXN-00000277,CUS-051657,2026-04-04,4999,upgrade,APAC,false
TXN-00000278,CUS-043305,2026-02-28,4999,upgrade,APAC,false
TXN-00000279,CUS-022581,2026-05-28,19999,refund,APAC,false
TXN-00000280,CUS-002179,2025-11-12,99999,Add-on,EU,false
TXN-00000281,CUS-088332,2025-12-04,99999,refund,EU,false
TXN-00000282,CUS-029825,2026-06-29,199,Add-on,EU,false
TXN-00000283,CUS-051366,2025-12-02,99999,subscription,APAC,false
TXN-00000284,CUS-071072,2025-09-04,4999,upgrade,EU,false
TXN-00000285,CUS-099531,2026-01-06,999,downgrade,EU,false
TXN-00000286,CUS-008588,2026-08-13,9999,refund,APAC,false
TXN-00000287,CUS-025261,2025-12-22,4999,refund,EU,false
TXN-00000288,CUS-023730,2026-06-23,9999,subscription,EU,false
TXN-00000289,CUS-038555,2026-02-27,19999,downgrade,EU,false
TXN-00000290,CUS-097000,2025-11-08,4999,refund,NA,false
TXN-00000291,CUS-054692,2026-05-02,999,subscription,APAC,false
TXN-00000292,CUS-040788,2026-07-20,49999,Add-on,EU,false
TXN-00000293,CUS-066537,2025-09-04,4999,refund,EU,false
TXN-00000294,CUS-050806,2026-06-11,9999,refund,APAC,false
TXN-00000295,CUS-031724,2026-03-14,4999,upgrade,NA,true
TXN-00000296,CUS-070078,2026-08-05,9999,refund,EU,false
TXN-00000297,CUS-095855,2025-11-23,999,downgrade,NA,false
TXN-00000298,CUS-069271,2025-11-04,1999,refund,EU,false
TXN-00000299,CUS-074237,2026-06-04,499,downgrade,NA,false
TXN-00000300,CUS-078066,2025-10-09,99999,refund,NA,false
TXN-00000301,CUS-089913,2026-06-16,99999,refund,NA,false
TXN-00000302,CUS-071817,2025-10-19,99,downgrade,NA,false
TXN-00000303,CUS-073884,2026-05-05,999,downgrade,APAC,false
TXN-00000304,CUS-090524,2026-08-21,199,subscription,APAC,false
TXN-00000305,CUS-081937,2026-03-25,999,subscription,EU,false
TXN-00000306,CUS-030664,2026-02-28,199,subscription,APAC,false
TXN-00000307,CUS-048260,2025-12-02,9999,downgrade,EU,false
TXN-00000308,CUS-005018,2026-03-30,19999,subscription,APAC,true
TXN-00000309,CUS-084135,2026-08-19,999,subscription,APAC,false
TXN-00000310,CUS-039954,2026-08-16,1999,upgrade,APAC,false
TXN-00000311,CUS-007815,2025-11-01,1999,refund,NA,false
TXN-00000312,CUS-067676,2026-01-10,9999,upgrade,APAC,false
TXN-00000313,CUS-050352,2026-07-20,99,Add-on,EU,false
TXN-00000314,CUS-084904,2026-06-06,999,Add-on,EU,false
TXN-00000315,CUS-074625,2026-06-28,199,Add-on,APAC,false
TXN-00000316,CUS-045407,2025-09-07,99999,downgrade,NA,false
TXN-00000317,CUS-059032,2025-12-27,199,subscription,EU,false
TXN-00000318,CUS-090905,2025-10-23,9999,subscription,NA,false
TXN-00000319,CUS-025750,2026-07-09,999,Add-on,NA,false
TXN-00000320,CUS-053916,2025-12-07,99999,subscription,EU,false
TXN-00000321,CUS-027308,2026-02-16,99999,upgrade,NA,false
TXN-00000322,CUS-093268,2026-03-04,4999,subscription,APAC,false
TXN-00000323,CUS-047294,2025-12-28,9999,downgrade,NA,false
TXN-00000324,CUS-095647,2025-10-08,499,downgrade,EU,false
TXN-00000325,CUS-093885,2026-05-25,99,refund,EU,false
TXN-00000326,CUS-070776,2025-10-27,9999,subscription,NA,false
TXN-00000327,CUS-009135,2026-02-23,19999,refund,NA,false
TXN-00000328,CUS-048222,2026-06-09,999,refund,EU,false
TXN-00000329,CUS-042691,2026-02-28,199,upgrade,EU,true
TXN-00000330,CUS-085197,2026-04-30,99999,upgrade,NA,false
TXN-00000331,CUS-025701,2026-04-10,499,Add-on,APAC,false
TXN-00000332,CUS-059688,2026-07-15,999,Add-on,APAC,false
TXN-00000333,CUS-050155,2026-03-16,19999,Add-on,EU,false
TXN-00000334,CUS-020309,2026-04-20,49999,downgrade,EU,false
TXN-00000335,CUS-014351,2026-08-04,499,downgrade,APAC,false
TXN-00000336,CUS-071604,2026-04-29,199,subscription,EU,false
TXN-00000337,CUS-006696,2026-07-11,49999,refund,NA,false
TXN-00000338,CUS-018456,2026-08-11,999,downgrade,NA,false
TXN-00000339,CUS-068586,2026-08-12,49999,upgrade,EU,false
TXN-00000340,CUS-040736,2026-06-14,1999,upgrade,EU,false
TXN-00000341,CUS-098643,2026-08-18,499,downgrade,NA,false
TXN-00000342,CUS-041886,2026-04-14,99999,downgrade,NA,false
TXN-00000343,CUS-019049,2026-07-12,499,subscription,NA,false
TXN-00000344,CUS-073163,2026-02-15,19999,upgrade,EU,false
TXN-00000345,CUS-071203,2025-11-24,4999,subscription,NA,false
TXN-00000346,CUS-003169,2026-05-14,9999,refund,APAC,false
TXN-00000347,CUS-000390,2026-03-23,999,Add-on,NA,false
TXN-00000348,CUS-042922,2026-01-21,99,subscription,EU,false
TXN-00000349,CUS-040183,2026-01-21,499,subscription,APAC,false
TXN-00000350,CUS-069140,2025-10-11,499,refund,NA,false
TXN-00000351,CUS-047661,2026-06-28,49999,Add-on,APAC,false
TXN-00000352,CUS-033803,2026-01-31,49999,upgrade,NA,false
TXN-00000353,CUS-067994,2025-12-05,19999,Add-on,EU,false
TXN-00000354,CUS-064564,2026-04-08,49999,upgrade,NA,true
TXN-00000355,CUS-036540,2026-08-20,1999,refund,NA,false
TXN-00000356,CUS-021203,2026-05-27,99999,upgrade,EU,false
TXN-00000357,CUS-067959,2026-07-07,99999,downgrade,NA,false
TXN-00000358,CUS-007236,2026-06-24,4999,downgrade,NA,false
TXN-00000359,CUS-043040,2025-11-23,99999,refund,APAC,false
TXN-00000360,CUS-009804,2025-10-24,199,upgrade,EU,false
TXN-00000361,CUS-098842,2026-02-19,4999,downgrade,APAC,true
TXN-00000362,CUS-057323,2025-12-02,499,subscription,NA,false
TXN-00000363,CUS-028145,2026-02-01,499,subscription,EU,false
TXN-00000364,CUS-035334,2026-03-26,99999,Add-on,EU,false
TXN-00000365,CUS-059425,2025-12-08,199,refund,APAC,false
TXN-00000366,CUS-029684,2026-07-20,19999,Add-on,APAC,false
TXN-00000367,CUS-079260,2025-12-24,4999,Add-on,APAC,false
TXN-00000368,CUS-082961,2025-12-24,19999,refund,APAC,false
TXN-00000369,CUS-059675,2026-06-11,49999,downgrade,NA,false
TXN-00000370,CUS-032702,2026-05-22,4999,upgrade,APAC,false
TXN-00000371,CUS-022854,2026-02-07,4999,refund,NA,false
TXN-00000372,CUS-061467,2026-02-11,49999,upgrade,NA,false
TXN-00000373,CUS-067345,2025-11-30,199,subscription,NA,false
TXN-00000374,CUS-088145,2026-07-15,49999,Add-on,APAC,false
TXN-00000375,CUS-013339,2026-05-20,999,upgrade,APAC,false
TXN-00000376,CUS-084102,2026-01-23,4999,upgrade,EU,false
TXN-00000377,CUS-043158,2025-11-13,99999,refund,EU,false
TXN-00000378,CUS-098434,2025-09-27,99999,downgrade,NA,false
TXN-00000379,CUS-061059,2025-12-10,19999,refund,APAC,false
TXN-00000380,CUS-071014,2026-03-20,4999,subscription,NA,false
TXN-00000381,CUS-096653,2025-09-24,9999,upgrade,EU,false
TXN-00000382,CUS-075776,2026-05-08,9999,refund,APAC,false
TXN-00000383,CUS-064854,2026-03-29,199,upgrade,NA,false
TXN-00000384,CUS-084143,2026-04-12,9999,subscription,NA,false
TXN-00000385,CUS-058646,2025-09-08,499,subscription,EU,false
TXN-00000386,CUS-019261,2026-05-12,199,downgrade,NA,false
TXN-00000387,CUS-072006,2025-11-15,4999,Add-on,NA,false
TXN-00000388,CUS-085450,2025-10-09,1999,downgrade,APAC,false
TXN-00000389,CUS-058974,2025-10-16,199,refund,APAC,false
TXN-00000390,CUS-063921,2026-01-16,9999,subscription,EU,false
TXN-00000391,CUS-025263,2026-05-06,499,downgrade,NA,false
TXN-00000392,CUS-006167,2026-08-19,19999,upgrade,EU,true
TXN-00000393,CUS-068677,2026-03-27,1999,upgrade,EU,false
TXN-00000394,CUS-066441,2026-03-30,1999,downgrade,APAC,false
TXN-00000395,CUS-060243,2026-05-25,4999,Add-on,NA,false
TXN-00000396,CUS-070077,2026-06-29,19999,upgrade,EU,false
TXN-00000397,CUS-069591,2026-06-07,49999,refund,EU,true
TXN-00000398,CUS-003967,2026-07-13,499,upgrade,APAC,false
TXN-00000399,CUS-094268,2026-05-11,999,downgrade,APAC,false
TXN-00000400,CUS-085643,2026-01-31,19999,subscription,NA,false
TXN-00000401,CUS-085872,2026-07-20,499,upgrade,EU,false
TXN-00000402,CUS-073608,2025-10-15,99999,subscription,APAC,false
TXN-00000403,CUS-043759,2026-08-31,49999,downgrade,NA,false
TXN-00000404,CUS-059151,2025-10-29,499,refund,EU,false
TXN-00000405,CUS-041891,2026-08-25,4999,downgrade,APAC,false
TXN-00000406,CUS-030796,2025-12-02,19999,subscription,EU,false
